"CountryCode";"CountryName";"Continent";"Region";"Population";"GovernmentForm";"HeadOfState";"Capital"
"GRD";"Grenada";"North America";"Caribbean";94000;"Constitutional Monarchy";"Elisabeth II";916
"GRL";"Greenland";"North America";"North America";56000;"Part of Denmark";"Margrethe II";917
"GTM";"Guatemala";"North America";"Central America";11385000;"Republic";"Alfonso Portillo Cabrera";922
"GUF";"French Guiana";"South America";"South America";181000;"Overseas Department of France";"Jacques Chirac";3014
"GUM";"Guam";"Oceania";"Micronesia";168000;"US Territory";"George W. Bush";921
"GUY";"Guyana";"South America";"South America";861000;"Republic";"Bharrat Jagdeo";928
"HKG";"Hong Kong";"Asia";"Eastern Asia";6782000;"Special Administrative Region of China";"Jiang Zemin";937
"HMD";"Heard Island and McDonald Islands";"Antarctica";"Antarctica";0;"Territory of Australia";"Elisabeth II";0
"HND";"Honduras";"North America";"Central America";6485000;"Republic";"Carlos Roberto Flores FacussÃ©";933
"HRV";"Croatia";"Europe";"Southern Europe";4473000;"Republic";"ÂŠtipe Mesic";2409
"HTI";"Haiti";"North America";"Caribbean";8222000;"Republic";"Jean-Bertrand Aristide";929
"HUN";"Hungary";"Europe";"Eastern Europe";10043200;"Republic";"Ferenc MÃ¡dl";3483
"IDN";"Indonesia";"Asia";"Southeast Asia";212107000;"Republic";"Abdurrahman Wahid";939
"IND";"India";"Asia";"Southern and Central Asia";1013662000;"Federal Republic";"Kocheril Raman Narayanan";1109
"IOT";"British Indian Ocean Territory";"Africa";"Eastern Africa";0;"Dependent Territory of the UK";"Elisabeth II";0
"IRL";"Ireland";"Europe";"British Islands";3775100;"Republic";"Mary McAleese";1447
"IRN";"Iran";"Asia";"Southern and Central Asia";67702000;"Islamic Republic";"Ali Mohammad Khatami-Ardakani";1380
"IRQ";"Iraq";"Asia";"Middle East";23115000;"Republic";"Saddam Hussein al-Takriti";1365
"ISL";"Iceland";"Europe";"Nordic Countries";279000;"Republic";"Ã“lafur Ragnar GrÃ­msson";1449
"ISR";"Israel";"Asia";"Middle East";6217000;"Republic";"Moshe Katzav";1450
"ITA";"Italy";"Europe";"Southern Europe";57680000;"Republic";"Carlo Azeglio Ciampi";1464
"JAM";"Jamaica";"North America";"Caribbean";2583000;"Constitutional Monarchy";"Elisabeth II";1530
"JOR";"Jordan";"Asia";"Middle East";5083000;"Constitutional Monarchy";"Abdullah II";1786
"JPN";"Japan";"Asia";"Eastern Asia";126714000;"Constitutional Monarchy";"Akihito";1532
"KAZ";"Kazakstan";"Asia";"Southern and Central Asia";16223000;"Republic";"Nursultan Nazarbajev";1864
"KEN";"Kenya";"Africa";"Eastern Africa";30080000;"Republic";"Daniel arap Moi";1881
"KGZ";"Kyrgyzstan";"Asia";"Southern and Central Asia";4699000;"Republic";"Askar Akajev";2253
"KHM";"Cambodia";"Asia";"Southeast Asia";11168000;"Constitutional Monarchy";"Norodom Sihanouk";1800
"KIR";"Kiribati";"Oceania";"Micronesia";83000;"Republic";"Teburoro Tito";2256
"KNA";"Saint Kitts and Nevis";"North America";"Caribbean";38000;"Constitutional Monarchy";"Elisabeth II";3064
"KOR";"South Korea";"Asia";"Eastern Asia";46844000;"Republic";"Kim Dae-jung";2331
"KWT";"Kuwait";"Asia";"Middle East";1972000;"Constitutional Monarchy (Emirate)";"Jabir al-Ahmad al-Jabir al-Sabah";2429
"LAO";"Laos";"Asia";"Southeast Asia";5433000;"Republic";"Khamtay Siphandone";2432
"LBN";"Lebanon";"Asia";"Middle East";3282000;"Republic";"Ã‰mile Lahoud";2438
"LBR";"Liberia";"Africa";"Western Africa";3154000;"Republic";"Charles Taylor";2440
"LBY";"Libyan Arab Jamahiriya";"Africa";"Northern Africa";5605000;"Socialistic State";"Muammar al-Qadhafi";2441
"LCA";"Saint Lucia";"North America";"Caribbean";154000;"Constitutional Monarchy";"Elisabeth II";3065
"LIE";"Liechtenstein";"Europe";"Western Europe";32300;"Constitutional Monarchy";"Hans-Adam II";2446
"LKA";"Sri Lanka";"Asia";"Southern and Central Asia";18827000;"Republic";"Chandrika Kumaratunga";3217
"LSO";"Lesotho";"Africa";"Southern Africa";2153000;"Constitutional Monarchy";"Letsie III";2437
"LTU";"Lithuania";"Europe";"Baltic Countries";3698500;"Republic";"Valdas Adamkus";2447
"LUX";"Luxembourg";"Europe";"Western Europe";435700;"Constitutional Monarchy";"Henri";2452
"LVA";"Latvia";"Europe";"Baltic Countries";2424200;"Republic";"Vaira Vike-Freiberga";2434
"MAC";"Macao";"Asia";"Eastern Asia";473000;"Special Administrative Region of China";"Jiang Zemin";2454
"MAR";"Morocco";"Africa";"Northern Africa";28351000;"Constitutional Monarchy";"Mohammed VI";2486
"MCO";"Monaco";"Europe";"Western Europe";34000;"Constitutional Monarchy";"Rainier III";2695
"MDA";"Moldova";"Europe";"Eastern Europe";4380000;"Republic";"Vladimir Voronin";2690
"MDG";"Madagascar";"Africa";"Eastern Africa";15942000;"Federal Republic";"Didier Ratsiraka";2455
"MDV";"Maldives";"Asia";"Southern and Central Asia";286000;"Republic";"Maumoon Abdul Gayoom";2463
"MEX";"Mexico";"North America";"Central America";98881000;"Federal Republic";"Vicente Fox Quesada";2515
"MHL";"Marshall Islands";"Oceania";"Micronesia";64000;"Republic";"Kessai Note";2507
"MKD";"Macedonia";"Europe";"Southern Europe";2024000;"Republic";"Boris Trajkovski";2460
"MLI";"Mali";"Africa";"Western Africa";11234000;"Republic";"Alpha Oumar KonarÃ©";2482
"MLT";"Malta";"Europe";"Southern Europe";380200;"Republic";"Guido de Marco";2484
"MMR";"Myanmar";"Asia";"Southeast Asia";45611000;"Republic";"kenraali Than Shwe";2710
"MNG";"Mongolia";"Asia";"Eastern Asia";2662000;"Republic";"Natsagiin Bagabandi";2696
"MNP";"Northern Mariana Islands";"Oceania";"Micronesia";78000;"Commonwealth of the US";"George W. Bush";2913
"MOZ";"Mozambique";"Africa";"Eastern Africa";19680000;"Republic";"JoaquÃ­m A. Chissano";2698
"MRT";"Mauritania";"Africa";"Western Africa";2670000;"Republic";"Maaouiya Ould SidÂ´Ahmad Taya";2509
"MSR";"Montserrat";"North America";"Caribbean";11000;"Dependent Territory of the UK";"Elisabeth II";2697
"MTQ";"Martinique";"North America";"Caribbean";395000;"Overseas Department of France";"Jacques Chirac";2508
"MUS";"Mauritius";"Africa";"Eastern Africa";1158000;"Republic";"Cassam Uteem";2511
"MWI";"Malawi";"Africa";"Eastern Africa";10925000;"Republic";"Bakili Muluzi";2462
"MYS";"Malaysia";"Asia";"Southeast Asia";22244000;"Constitutional Monarchy, Federation";"Salahuddin Abdul Aziz Shah Alhaj";2464
"MYT";"Mayotte";"Africa";"Eastern Africa";149000;"Territorial Collectivity of France";"Jacques Chirac";2514
"NAM";"Namibia";"Africa";"Southern Africa";1726000;"Republic";"Sam Nujoma";2726
"NCL";"New Caledonia";"Oceania";"Melanesia";214000;"Nonmetropolitan Territory of France";"Jacques Chirac";3493
"NER";"Niger";"Africa";"Western Africa";10730000;"Republic";"Mamadou Tandja";2738
"NFK";"Norfolk Island";"Oceania";"Australia and New Zealand";2000;"Territory of Australia";"Elisabeth II";2806
"NGA";"Nigeria";"Africa";"Western Africa";111506000;"Federal Republic";"Olusegun Obasanjo";2754
"NIC";"Nicaragua";"North America";"Central America";5074000;"Republic";"Arnoldo AlemÃ¡n Lacayo";2734
"NIU";"Niue";"Oceania";"Polynesia";2000;"Nonmetropolitan Territory of New Zealand";"Elisabeth II";2805
"NLD";"Netherlands";"Europe";"Western Europe";15864000;"Constitutional Monarchy";"Beatrix";5
"NOR";"Norway";"Europe";"Nordic Countries";4478500;"Constitutional Monarchy";"Harald V";2807
"NPL";"Nepal";"Asia";"Southern and Central Asia";23930000;"Constitutional Monarchy";"Gyanendra Bir Bikram";2729
"NRU";"Nauru";"Oceania";"Micronesia";12000;"Republic";"Bernard Dowiyogo";2728
"NZL";"New Zealand";"Oceania";"Australia and New Zealand";3862000;"Constitutional Monarchy";"Elisabeth II";3499
"OMN";"Oman";"Asia";"Middle East";2542000;"Monarchy (Sultanate)";"Qabus ibn SaÂ´id";2821
"PAK";"Pakistan";"Asia";"Southern and Central Asia";156483000;"Republic";"Mohammad Rafiq Tarar";2831
"PAN";"Panama";"North America";"Central America";2856000;"Republic";"Mireya Elisa Moscoso RodrÃ­guez";2882
